No.,Date,Media,Headline,Journalist,Type,Angle,Remark,,,,,,,,,,,,,,,,,,,,
24,2025/12/17,더바이오,"스파크바이오랩, 이지스자산운용과 ‘라이프사이언스 부동산 사업’ 추진",강인효,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
25,2025/12/17,K스타트업밸리,"스파크바이오랩-이지스자산운용, 바이오 스타트업 특화 공간 인프라 구축 MOU",Jo Kim,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
26,2025/12/17,스타트업레시피,"[AI서머리] 키글, 동유럽 OTT 시장 진출‧클로토, 일본 시장 공략 나선다",이석원,보도자료(단신),스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
27,2025/12/17,동아일보,"낚시 앱 ‘낚맛’, 실시간 지도·AI 리포트 중심으로 강화 [ICT이노베이션스퀘어확산사업]",김영우,언급,스파크랩이 육성하는 스타트업 소개(커넥트제로),,,,,,,,,,,,,,,,,,,,,
28,2025/12/16,뉴스탭,"사우디 MCIT, ‘테크 파운더 인 코리아 2025’ 성료…한·사우디 테크 협력 본격화",이준문,보도자료,"스파크랩 사우디, 'Tech Founders in Korea 2025' 성료",,,,,,,,,,,,,,,,,,,,,
29,2025/12/15,머니투데이,"사우디-韓, '테크파운더' 통해 스타트업·지원기관 더 끈끈하게",남미래,보도자료,"스파크랩 사우디, 'Tech Founders in Korea 2025' 성료",,,,,,,,,,,,,,,,,,,,,
30,2025/12/15,유니콘팩토리,"사우디-韓, '테크파운더' 통해 스타트업·지원기관 더 끈끈하게",남미래,보도자료,"스파크랩 사우디, 'Tech Founders in Korea 2025' 성료",,,,,,,,,,,,,,,,,,,,,
31,2025/12/15,데이터넷,"사우디 정보통신부 산하 CODE, ‘테크 파운더 인 코리아 2025’ 성료",강석오,보도자료,"스파크랩 사우디, 'Tech Founders in Korea 2025' 성료",,,,,,,,,,,,,,,,,,,,,
32,2025/12/15,디스커버리뉴스,"사우디 정보통신부 산하 CODE, ‘테크 파운더 인 코리아 2025’ 성료",정기환,보도자료,"스파크랩 사우디, 'Tech Founders in Korea 2025' 성료",,,,,,,,,,,,,,,,,,,,,
33,2025/12/15,스타트업레시피,"[AI서머리] 테크포임팩트 LAB 2기 성과 공개‧스파크랩, ‘테크 파운더 인 코리아 2025’ 성료",이석원,보도자료(단신),"스파크랩 사우디, 'Tech Founders in Korea 2025' 성료",,,,,,,,,,,,,,,,,,,,,
34,2025/12/15,플래텀,"사우디 MCIT, ‘테크 파운더 인 코리아 2025’ 종료… 스타트업 20개사 韓 생태계 탐방",김민정,보도자료,"스파크랩 사우디, 'Tech Founders in Korea 2025' 성료",,,,,,,,,,,,,,,,,,,,,
35,2025/12/15,베타뉴스,"사우디 정보통신부 산하 CODE, 테크 파운더 인 코리아 2025 마무리",이승희,보도자료,"스파크랩 사우디, 'Tech Founders in Korea 2025' 성료",,,,,,,,,,,,,,,,,,,,,
8,2025/12/15,K스타트업밸리,"사우디 MCIT·스파크랩, '테크 파운더 인 코리아 2025' 성료… MOU 10건 이상 체결",Jo Kim,보도자료,"스파크랩 사우디, 'Tech Founders in Korea 2025' 성료",,,,,,,,,,,,,,,,,,,,,
37,2025/12/15,스타트업레시피,"[AI서머리] 테크포임팩트 LAB 2기 성과 공개‧스파크랩, ‘테크 파운더 인 코리아 2025’ 성료",이석원,보도자료(단신),"스파크랩 사우디, 'Tech Founders in Korea 2025' 성료",,,,,,,,,,,,,,,,,,,,,
38,2025/12/14,한경잡앤조이,[IBK창공(創工) 광주 스타트업 CEO] 클라우드 AI 기반 노코드 빌더 제공하는 ‘히릿소프트’,이진호,언급,히릿소프트 투자사로 스파크랩 언급,,,,,,,,,,,,,,,,,,,,,
39,2025/12/13,뉴스텝,"스파크바이오랩, 바이오 스타트업 전문 액셀러레이터로 공식 출범",이준문,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
40,2025/12/12,IT타임스,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범… 상시 선발 체제 도입",YoungHa Kim,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
41,2025/12/11,헬로티,"스파크바이오랩, 바이오 전문 AC로 정식 출범...상시 선발제 도입",김재황,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
42,2025/12/11,한국일보,바이오 스타트업 전문 육성업체 등장,최연진,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
43,2025/12/11,베이비뉴스,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범…상시 스타트업 선발 운영",심주인,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
44,2025/12/11,에이빙뉴스,"스파크바이오랩, 바이오 스타트업 전문 AC로 출범… “글로벌 진출·투자 연계 강화”",최상운,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
45,2025/12/11,벤처스퀘어,"스파크바이오랩, ‘바이오 스타트업 전문 액셀러레이터’ 공식 출범",강진희,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
46,2025/12/11,머니투데이,"""바이오 맞춤형 육성""…스파크바이오랩, 전문 AC로 정식 출범",최태범,보도자료(지면),"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
47,2025/12/11,플래텀,"스파크바이오랩, 바이오 전문 AC 공식 출범… 기수제 폐지, 상시 선발",김민정,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
48,2025/12/11,중소기업신문,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범…상시 스타트업 선발 운영",김혜준,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
49,2025/12/11,데이터넷,바이오 스타트업 전문 AC ‘스파크바이오랩’ 출범,강석오,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
50,2025/12/11,뉴스웍스,[#헬스콕] 동아쏘시오 'LACP 어워즈'·대웅-씨어스-엑소 'MOU'·메디웨일 '국무총리 표창'·스파크바이오랩 'AC로 출범'...,문병도,보도자료(단신),"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
51,2025/12/11,아시아경제,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",김철현,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
52,2025/12/11,바이오타임즈,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",김수진,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
53,2025/12/11,K스타트업밸리,"스파크바이오랩, 바이오 전문 액셀러레이터 정식 출범… 상시 선발 체제 도입",Jo Kim,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
54,2025/12/11,라포르시안,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",정희석,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
55,2025/12/11,베타뉴스,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",이승희,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
56,2025/12/11,디지틀조선일보,"스파크바이오랩, 바이오 전문 액셀러레이터로 공식 출범…상시 선발 체제 도입",김정아,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
57,2025/12/11,매일경제,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",이영욱,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
58,2025/12/11,디스커버리뉴스,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범…상시 스타트업 선발 운영",정기환,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
59,2025/12/11,아이뉴스24,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",문영수,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
60,2025/12/11,약업신문,"스파크바이오랩,바이오 스타트업 전문 AC 출범…스타트업 선발 운영",이권구,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
61,2025/12/11,스타트업투데이,"스파크바이오랩, 바이오 특화 액셀러레이터로 공식 데뷔",박수지,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,스타트업투데이
62,2025/12/11,더바이오,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범…상시 스타트업 선발",강인효,보도자료,"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
63,2025/12/11,스타트업레시피,"[AI서머리] 스파크바이오랩, 바이오 전문 AC 정식 출범‧모레-AMD, ‘AI 개발자 밋업’ 공동 개최",이석원,보도자료(단신),"스파크바이오랩, 바이오 스타트업 전문 AC로 정식 출범",,,,,,,,,,,,,,,,,,,,,
64,2025/12/10,동아일보,“10분이면 전단 제작?” 오프라인 매장 홍보 서비스 ‘템플리’ 써보니 [부산ICT이노베이션스퀘어확산사업,김예지,언급,스파크랩이 육성하는 스타트업 소개(템플리),,,,,,,,,,,,,,,,,,,,,
65,2025/12/10,바이라인네트워크,"[현장] “컴업 찾은 외국 스타트업, 한국에서 기회 보겠다”",남혜현,언급, '컴업 2025' 취재 기사서 스파크랩 사우디 언급,,,,,,,,,,,,,,,,,,,,,
66,2025/12/10,플래텀,"퓨처플레이, 중기부 ‘스케일업 팁스’ 우수 컨소시엄 선정… 투자·R&D 성과 인정 ",NA,언급,캡스톤파트너스 컨소시엄 구성 기업으로 스파크랩 언급,,,,,,,,,,,,,,,,,,,,,
67,2025/12/09,블로터,"자본잠식에 IPO 지연' 스파크플러스, 투자자 연이어 이탈 [넘버스]",정유진,언급,스파크플러스 부정기사 내 스파크랩 언급,,,,,,,,,,,,,,,,,,,,,
68,2025/12/05,플래텀,"이한주 베스핀글로벌 창업자, 사우디 스타트업 CEO들과 ‘소버린 AI’ 논의",김문선,언급,스파크랩이 주최한 사우디 스타트업 관련 내용으로 언급,,,,,,,,,,,,,,,,,,,,,
69,2025/12/01,뉴스프리존,"광운대, 사우디 혁신기업과 스타트업 교류·성과 만들어",서청룡,언급,스파크랩X스파크랩 사우디 주최 ‘Tech Founders in Korea’에 광운대 참여 언급,,,,,,,,,,,,,,,,,,,,,
70,2025/11/28,헤럴드경제,"현대차 정몽구 재단, 그린 소사이어티 2년 성과 공개…“K-기후테크 창업 생태계 조성”",양대근,언급,그린 소사이어티 Chapter II: C-Tech Fair 2025'에 스파크랩 참가 언급,,,,,,,,,,,,,,,,,,,,,
71,2025/11/28,뉴스탭,"“10조원 핀테크 유니콘 첫 방한”…스파크랩, 글로벌 확장 전략 한자리에서 공개",이준문,보도자료,글로벌 확장 전략 세미나 개최,,,,,,,,,,,,,,,,,,,,,
72,2025/11/27,대한경제,[증권가로수]한양증권/하나자산운용/포블/스파크랩,김동섭,보도자료(단신),글로벌 확장 전략 세미나 개최,,,,,,,,,,,,,,,,,,,,,
73,2025/11/27,벤처스퀘어,"스파크랩, ‘에어월렉스’와 글로벌 확장 전략 세미나 개최",강진희,보도자료,글로벌 확장 전략 세미나 개최,,,,,,,,,,,,,,,,,,,,,
74,2025/11/27,뉴스웍스,"스파크랩-濠 에어월렉스, 글로벌 확장 전략 세미나 개최",문병도,보도자료,글로벌 확장 전략 세미나 개최,,,,,,,,,,,,,,,,,,,,,
75,2025/11/27,중소기업신문,"스파크랩, 濠 '에어월렉스'와 글로벌 확장 전략 세미나 개최",김혜준,보도자료,글로벌 확장 전략 세미나 개최,,,,,,,,,,,,,,,,,,,,,
76,2025/11/27,데이터넷,"스파크랩, 핀테크 유니콘 ‘에어월렉스’와 글로벌 확장 전략 세미나 개최",강석오,보도자료,글로벌 확장 전략 세미나 개최,,,,,,,,,,,,,,,,,,,,,
77,2025/11/27,매일경제,"스파크랩, 핀테크 유니콘 에어월렉스와 글로벌 확장 세미나 개최",이영욱,보도자료,글로벌 확장 전략 세미나 개최,,,,,,,,,,,,,,,,,,,,,
78,2025/11/27,베타뉴스,"스파크랩, 에어월렉스와 글로벌 확장 전략 세미나 12월 8일 개최",이승희,보도자료,글로벌 확장 전략 세미나 개최,,,,,,,,,,,,,,,,,,,,,
79,2025/11/27,플래텀,"스파크랩, 핀테크 유니콘 ‘에어월렉스’와 글로벌 확장 전략 세미나 개최",NA,보도자료,글로벌 확장 전략 세미나 개최,,,,,,,,,,,,,,,,,,,,,
80,2025/11/27,디스커버리뉴스,"스파크랩, 濠 핀테크 유니콘 '에어월렉스'와 글로벌 확장 전략 세미나 개최",정기환,보도자료,글로벌 확장 전략 세미나 개최,,,,,,,,,,,,,,,,,,,,,
81,2025/11/27,아시아경제,"스파크랩, 핀테크 유니콘 '에어월렉스'와 글로벌 확장 전략 세미나 개최",최호경,보도자료,글로벌 확장 전략 세미나 개최,,,,,,,,,,,,,,,,,,,,,
82,2025/11/27,스타트업레시피,"[AI서머리] 스파크랩, 濠 핀테크 유니콘과 글로벌 전략 세미나‧마이리얼트립, ‘리셀마켓’ 출시",이석원,보도자료(단신),글로벌 확장 전략 세미나 개최,,,,,,,,,,,,,,,,,,,,,
83,2025/11/27,이뉴스투데이,"광운대 ·스파크랩 사우디, 글로벌 창업·투자 협력 업무협약 체결",권오경,언급,광운대X스파크랩 사우디 MOU 언급,,,,,,,,,,,,,,,,,,,,,
84,2025/11/25,이투데이,"와이앤아처, 농식품 보육기업 대상 파이널 데모데이 성공적 개최",윤이나,언급,그린유니콘 파이널 데모데이 심사위원으로 스파크랩 참가 언급,,,,,,,,,,,,,,,,,,,,,
85,2025/11/24,그리니엄,연구실에서 시장까지 완주…현대차 정몽구 재단 ‘그린 소사이어티’ 특허·MOU·고용 모두 급증,NA,언급,그린 소사이어티 Chapter II: C-Tech Fair 2025에 스파크랩 참가 언급,,,,,,,,,,,,,,,,,,,,,
86,2025/11/20,교수신문,“경북 창업 열정 모였다” 제15회 POSTECH 창업경진대회 성료,하영,언급,제15회 POSTECH 창업경진대회 심사위원으로 스파크랩 김유진 대표 언급,,,,,,,,,,,,,,,,,,,,,
87,2025/11/18,기호일보,송도 스파크플렉스 조성사업 ‘위태’,인치동,부정기사,송도 스파크플렉스 조성사업 진행 지연,,,,,,,,,,,,,,,,,,,,,
88,2025/11/18,머니투데이,"스파크랩, 포항연합기술지주와 MOU…경북에 '창업 마중물'",고석용,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
89,2025/11/18,한스경제,"스파크랩파트너스, 포항연합기술지주와 업무 협약 체결",김종효,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
90,2025/11/18,지디넷코리아,"스파크랩파트너스-포항연합기술지주, 경북권 창업·투자 생태계 키운다",백봉삼,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
91,2025/11/18,데이터넷,"스파크랩파트너스·포항연합기술지주, 경북 창업·투자 생태계 조성 맞손",강석오,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
92,2025/11/18,매일경제,"스파크랩파트너스, 포항연합기술지주와 업무 협약 체결",이영욱,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
93,2025/11/18,플래텀,"스파크랩파트너스, 포항연합기술지주와 맞손…경북권 창업·투자 생태계 조성",NA,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
94,2025/11/18,뉴스웍스,스파크랩파트너스-포항연합기술지주 '업무 협약'…경북권 창업·투자 생태계 조성,문병도,보도자료(단신),포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
95,2025/11/18,벤처스퀘어,"스파크랩파트너스, 포항연합기술지주와 업무협약 체결",강진희,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
96,2025/11/18,스타트업투데이,"스파크랩파트너스, 포항연합기술지주와 업무협약 체결∙∙∙경북권 창업∙투자 생태계 조성",김석진,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
97,2025/11/18,K스타트업밸리,"스파크랩파트너스, 포항연합기술지주와 MOU 체결… 경북 AI·바이오 창업 생태계 조성 협력",Jo Kim,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
98,2025/11/18,더바이오,"스파크랩파트너스, 포항연합기술지주와 경북권 창업·투자 생태계 조성한다",강인효,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
99,2025/11/18,아시아경제,"스파크랩파트너스, 포항연합기술지주와 경북권 창업·투자 생태계 조성 '맞손'",김철현,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
100,2025/11/18,디스커버리뉴스,"스파크랩파트너스, 포항연합기술지주와 업무 협약 체결…경북권 창업•투자 생태계 조성",정기환,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
101,2025/11/18,베타뉴스,"스파크랩파트너스, 포항연합기술지주와 업무 협약 체결",이승희,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
102,2025/11/18,전자신문,"스파크랩파트너스, 포항연합기술지주와 업무 협약 체결…경북권 창업·투자 생태계 조성",성현희,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
103,2025/11/18,아이뉴스24,"스파크랩파트너스, 포항연합기술지주와 업무 협약 체결",문영수,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
104,2025/11/18,테크42,"스파크랩파트너스, 포항연합기술지주와 업무 협약 체결…경북권 창업·투자 생태계 조성",황정호,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
105,2025/11/18,와우테일,"스파크랩파트너스, 포항연합기술지주와 경북권 창업·투자 생태계 조성",정명화,보도자료,포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
106,2025/11/18,스타트업레시피,"[AI서머리] 온다, 호스피탈리티 특화 멀티모달 AI 모델 자체 개발‧충남 AX 창업허브 실무위원회 출범",이석원,보도자료(단신),포항연합기술지주와 업무협약,,,,,,,,,,,,,,,,,,,,,
107,2025/11/18,굿모닝경제,"스타트업얼라이언스, 오픈서베이와 '스타트업 트렌드리포트 2025' 발표",노진우,언급,창업자가 가장 선호하는 민간 액셀러레이터 3위로 스파크랩 언급,,,,,,,,,,,,,,,,,,,,,
108,2025/11/11,이데일리,달리면서 돈 번다엑스크루 '러닝앱' 美 시장국 진출,강경록,언급,엑스크루 투자사로 스파크랩 언급,,,,,,,,,,,,,,,,,,,,,
109,2025/11/10,뉴스탭,"스파크랩, ‘AI 시대의 스타트업 금융 전략’ 세미나 개최… 생존 넘어 도약 모색",이준문,보도자료,‘AI 시대의 스타트업 금융 전략‘ 세미나 개최,,,,,,,,,,,,,,,,,,,,,
110,2025/11/10,헬로티,"스파크랩, 경기 침체 속 스타트업 위한 AI 기반 금융 전략 세미나 연다",김재황,보도자료,‘AI 시대의 스타트업 금융 전략‘ 세미나 개최,,,,,,,,,,,,,,,,,,,,,
111,2025/11/10,디지털투데이,"스파크랩, ‘AI 시대 스타트업 금융 전략’ 세미나 25일 개최",황치규,보도자료,‘AI 시대의 스타트업 금융 전략‘ 세미나 개최,,,,,,,,,,,,,,,,,,,,,
112,2025/11/10,전자신문,"스파크랩, 'AI 시대의 스타트업 금융 전략' 세미나 개최",김명희,보도자료,‘AI 시대의 스타트업 금융 전략‘ 세미나 개최,,,,,,,,,,,,,,,,,,,,,
113,2025/11/10,디지털데일리,스파크랩 'AI 시대의 스타트업 금융 전략' 세미나 25일 개최,이건한,보도자료,‘AI 시대의 스타트업 금융 전략‘ 세미나 개최,,,,,,,,,,,,,,,,,,,,,
114,2025/11/10,스타트업투데이,"스파크랩, ‘AI 시대의 스타트업 금융 전략’ 세미나 개최∙∙∙자금 관리 및 금융 구조 재정비 계기",김지민,보도자료,‘AI 시대의 스타트업 금융 전략‘ 세미나 개최,,,,,,,,,,,,,,,,,,,,,
115,2025/11/10,뉴스웍스,스파크랩 'AI 시대의 스타트업 금융 전략' 세미나,문병도,보도자료(단신),‘AI 시대의 스타트업 금융 전략‘ 세미나 개최,,,,,,,,,,,,,,,,,,,,,
116,2025/11/10,데이터넷,"스파크랩, 'AI 시대의 스타트업 금융 전략' 세미나 개최",강석오,보도자료,‘AI 시대의 스타트업 금융 전략‘ 세미나 개최,,,,,,,,,,,,,,,,,,,,,
117,2025/11/10,벤처스퀘어,"스파크랩, ‘AI 시대 스타트업 금융 전략 세미나’ 개최",강진희,보도자료,‘AI 시대의 스타트업 금융 전략‘ 세미나 개최,,,,,,,,,,,,,,,,,,,,,
118,2025/11/10,플래텀,"""생존에서 도약으로""…스파크랩, 스타트업 대상 금융 전략 세미나",NA,보도자료,‘AI 시대의 스타트업 금융 전략‘ 세미나 개최,,,,,,,,,,,,,,,,,,,,,
119,2025/11/10,매일경제,"스파크랩, ‘AI 시대의 스타트업 금융 전략’ 세미나 개최",이영욱,보도자료,‘AI 시대의 스타트업 금융 전략‘ 세미나 개최,,,,,,,,,,,,,,,,,,,,,
120,2025/11/10,아시아경제,"스파크랩, 'AI 시대의 스타트업 금융 전략' 세미나 개최",최호경,보도자료,‘AI 시대의 스타트업 금융 전략‘ 세미나 개최,,,,,,,,,,,,,,,,,,,,,
121,2025/11/10,베타뉴스,"스파크랩, AI 시대의 스타트업 금융 전략 세미나 개최",이승희,보도자료,‘AI 시대의 스타트업 금융 전략‘ 세미나 개최,,,,,,,,,,,,,,,,,,,,,
